dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
75336677755743806,Vilijampolės sen.,20,110,2,132.0,1994.0,ambiguous,6983,8034,440056140480,131.99690565449498,2.3442286170016757e-05
74884676863945912,Kauno m.,28,240,1,22.0,1964.0,ambiguous,739,3176,199270002032,22.042988585359026,0.0019521199805661027
74619733186988724,Kauno m.,28,240,1,70.0,1981.0,ambiguous,2171,3176,529700414048,69.93270000816807,0.0009618909235236117
74622180430980831,Kauno m.,28,240,1,12.19,1956.0,ambiguous,216,3176,440002584574,12.29224999792967,0.008353038831309334
75619379710676629,Žaliakalnio sen.,20,110,2,102.0,1957.0,ambiguous,7104,8034,440043127204,102.00113932684503,1.1169808647792934e-05
65120996666173062,Panemunės sen.,20,110,2,180.0,2015.0,ambiguous,6061,8034,190030329019,180.02989999675415,0.00016609729815897367
64818828425447048,Kauno m.,22,240,1,68.0,2021.0,ambiguous,188,264,440068260830,69.14209647407806,0.016656051016733286
64821613697367372,Kauno m.,20,140,2,164.0,2024.0,ambiguous,767,821,199340304014,164.01211168838606,7.384903154417088e-05
75445180548347784,Šančių sen.,20,140,5,623.0,1978.0,ambiguous,827,847,199900088013,622.0518999997101,0.0015229890152363978
74398484914862617,Kauno m.,28,240,1,15.0,1967.0,ambiguous,354,3176,440023993764,14.810749998136423,0.01269693277208983
74980564310486483,Kauno m.,28,240,1,70.0,1966.0,ambiguous,2171,3176,529700414048,69.93270000816807,0.0009618909235236117
75340265275530824,Šilainių sen.,20,110,2,106.0,1993.0,ambiguous,7099,8034,199540129020,106.01139999927152,0.00010754138015744985
75662190525717279,Šilainių sen.,20,110,1,142.0,1934.0,ambiguous,14233,15727,199870150015,142.00064999388476,4.577411247375096e-06
74261383630822075,Kauno m.,28,240,1,20.0,1970.0,ambiguous,617,3176,440027549862,20.046249997112902,0.002309830142869007
74590094545306712,Kauno m.,28,240,1,29.03,1993.0,ambiguous,1106,3176,440061094300,29.048890156438162,0.0006504999339140838
75602749338786301,Žaliakalnio sen.,20,110,1,62.0,1960.0,ambiguous,9828,15727,199610119014,61.988949999944495,0.00017824169145352897
75689346311931097,Šančių sen.,20,140,1,202.0,1924.0,ambiguous,697,790,199350090010,201.93115000845157,0.00034089964199957024
75695824395283259,Kauno m.,22,210,1,243.0,1967.0,ambiguous,88,170,190190012064,243.40620002040282,0.0016702094455780525
